imdb_id,id,title,original_language,genre,belongs_to_franchise,production_company,release_date,runtime,popularity,is_Adult,numVotes,averageRating
tt0114709,862,Toy Story,en,Animation,1,Walt Disney Pictures,1995-10-30,81.0,21.946943,0,897995.0,8.3
tt0113497,8844,Jumanji,en,Adventure,1,TriStar Pictures,1995-12-15,104.0,17.015539,0,312530.0,7.0
tt0113228,15602,Grumpier Old Men,en,Romance,1,Lancaster Gate,1995-12-22,101.0,11.7129,0,24475.0,6.7
tt0114885,31357,Waiting to Exhale,en,Comedy,0,Twentieth Century Fox,1995-12-22,127.0,3.859495,0,9701.0,6.0
tt0113041,11862,Father of the Bride Part II,en,Comedy,1,Sandollar Productions,1995-02-10,106.0,8.387519,0,34926.0,6.1
tt0114319,11860,Sabrina,en,Comedy,0,Constellation Entertainment,1995-12-15,127.0,6.677277,0,37184.0,6.3
tt0112302,45325,Tom and Huck,en,Action,0,Walt Disney Pictures,1995-12-22,97.0,2.561161,0,9994.0,5.5
tt0114576,9091,Sudden Death,en,Action,1,Universal Pictures,1995-12-22,106.0,5.23158,0,32516.0,5.8
tt0113189,710,GoldenEye,en,Adventure,1,Eon Productions,1995-11-16,130.0,14.686036,0,240533.0,7.2
tt0112346,9087,The American President,en,Comedy,0,Universal Pictures,1995-11-17,106.0,6.318445,0,53213.0,6.8
tt0112896,12110,Dracula: Dead and Loving It,en,Comedy,0,Gaumont,1995-12-22,88.0,5.430331,0,39222.0,5.9
tt0112453,21032,Balto,en,Family,1,Amblimation,1995-12-22,78.0,12.140733,0,40263.0,7.1
tt0112760,1408,Cutthroat Island,en,Action,0,Beckner/Gorman Productions,1995-12-22,119.0,7.284477,0,26392.0,5.7
tt0114388,4584,Sense and Sensibility,en,Drama,0,Columbia Pictures,1995-12-13,136.0,10.673167,0,103950.0,7.6
tt0113101,5,Four Rooms,en,Crime,0,Miramax,1995-12-09,98.0,9.026586,0,99011.0,6.8
