title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
Toy Story,Other,1,Walt Disney Studios,81.0,21.946943,Fall,Oct,8.3
Jumanji,Adventure,1,Sony Pictures,104.0,17.015539,Fall,Dec,7.0
Grumpier Old Men,Romance,1,Other,101.0,11.7129,Fall,Dec,6.7
Waiting to Exhale,Comedy,0,Walt Disney Studios,127.0,3.859495,Fall,Dec,6.0
Father of the Bride Part II,Comedy,1,Other,106.0,8.387519,Winter,Feb,6.1
Sabrina,Comedy,0,Other,127.0,6.677277,Fall,Dec,6.3
Tom and Huck,Action,0,Walt Disney Studios,97.0,2.561161,Fall,Dec,5.5
Sudden Death,Action,1,NBCUniversal,106.0,5.23158,Fall,Dec,5.8
GoldenEye,Adventure,1,Other,130.0,14.686036,Fall,Nov,7.2
The American President,Comedy,0,NBCUniversal,106.0,6.318445,Fall,Nov,6.8
Dracula: Dead and Loving It,Comedy,0,Other,88.0,5.430331,Fall,Dec,5.9
Balto,Other,1,Other,78.0,12.140733,Fall,Dec,7.1
Cutthroat Island,Action,0,Other,119.0,7.284477,Fall,Dec,5.7
Sense and Sensibility,Drama,0,Sony Pictures,136.0,10.673167,Fall,Dec,7.6
Four Rooms,Crime,0,ViacomCBS,98.0,9.026586,Fall,Dec,6.8
Ace Ventura: When Nature Calls,Crime,1,Other,90.0,8.205448,Fall,Nov,6.4
Money Train,Action,0,Sony Pictures,103.0,7.337906,Fall,Nov,5.7
Get Shorty,Comedy,1,Other,105.0,12.669608,Fall,Oct,6.9
Copycat,Drama,0,Other,124.0,10.701801,Fall,Oct,6.6
Assassins,Action,0,WarnerMedia,132.0,11.065939,Fall,Oct,6.4
Powder,Drama,0,Other,111.0,12.133094,Fall,Oct,6.6
Leaving Las Vegas,Drama,0,Other,112.0,10.332025,Fall,Oct,7.5
Othello,Drama,0,WarnerMedia,123.0,1.845899,Fall,Dec,6.8
Now and Then,Comedy,0,WarnerMedia,100.0,8.681325,Fall,Oct,6.8
The City of Lost Children,Fantasy,0,Other,108.0,9.822423,Spring,May,7.5
Shanghai Triad,Drama,0,Other,108.0,1.100915,Spring,Apr,7.1
Dangerous Minds,Drama,0,Other,99.0,9.481338,Summer,Aug,6.6
Twelve Monkeys,Other,0,NBCUniversal,129.0,12.297305,Fall,Dec,8.0
Wings of Courage,Romance,0,Other,50.0,0.745542,Summer,Sep,6.4
Babe,Fantasy,1,NBCUniversal,89.0,14.404764,Summer,Jul,6.8
Carrington,Other,0,Other,121.0,1.493361,Fall,Nov,6.8
Dead Man Walking,Drama,0,Other,122.0,6.891317,Fall,Dec,7.5
Across the Sea of Time,Adventure,0,Sony Pictures,51.0,0.114469,Fall,Oct,5.9
It Takes Two,Comedy,0,Other,101.0,7.777735,Fall,Nov,5.9
Clueless,Comedy,0,ViacomCBS,97.0,9.882383,Summer,Jul,6.8
"Cry, the Beloved Country",Drama,0,Other,106.0,0.894647,Fall,Dec,6.8
Richard III,Drama,0,Other,104.0,4.561387,Fall,Dec,7.4
Dead Presidents,Action,0,Other,119.0,9.87957,Fall,Oct,6.9
Restoration,Drama,0,Other,117.0,10.979269,Fall,Dec,6.6
Mortal Kombat,Action,1,WarnerMedia,101.0,10.870138,Summer,Aug,5.8
