title,budget,revenue,genre,belongs_to_franchise,production_company,cert,runtime,popularity,release_season,release_month,averageRating
Toy Story,30000000.0,373554033.0,Animation,1,Walt Disney Studios,G,81.0,21.946943,Fall,Oct,8.3
Jumanji,65000000.0,262797249.0,Adventure,1,Sony Pictures,PG,104.0,17.015539,Fall,Dec,7.0
Waiting to Exhale,16000000.0,81452156.0,Comedy,0,Walt Disney Studios,R,127.0,3.859495,Fall,Dec,6.0
Sudden Death,35000000.0,64350171.0,Action,1,NBCUniversal,R,106.0,5.23158,Fall,Dec,5.8
GoldenEye,58000000.0,352194034.0,Adventure,1,Other,PG-13,130.0,14.686036,Fall,Nov,7.2
The American President,62000000.0,107879496.0,Comedy,0,NBCUniversal,PG-13,106.0,6.318445,Fall,Nov,6.8
Cutthroat Island,98000000.0,10017322.0,Action,0,Other,PG-13,119.0,7.284477,Fall,Dec,5.7
Sense and Sensibility,16500000.0,135000000.0,Drama,0,Sony Pictures,PG,136.0,10.673167,Fall,Dec,7.6
Four Rooms,4000000.0,4300000.0,Crime,0,ViacomCBS,R,98.0,9.026586,Fall,Dec,6.8
Ace Ventura: When Nature Calls,30000000.0,212385533.0,Crime,1,Other,PG-13,90.0,8.205448,Fall,Nov,6.4
Money Train,60000000.0,35431113.0,Action,0,Sony Pictures,R,103.0,7.337906,Fall,Nov,5.7
Get Shorty,30250000.0,115101622.0,Comedy,1,Other,R,105.0,12.669608,Fall,Oct,6.9
Assassins,50000000.0,30303072.0,Action,0,WarnerMedia,R,132.0,11.065939,Fall,Oct,6.4
Leaving Las Vegas,3600000.0,49800000.0,Drama,0,Other,R,112.0,10.332025,Fall,Oct,7.5
Now and Then,12000000.0,27400000.0,Comedy,0,WarnerMedia,PG-13,100.0,8.681325,Fall,Oct,6.8
The City of Lost Children,18000000.0,1738611.0,Fantasy,0,Other,R,108.0,9.822423,Spring,May,7.5
Twelve Monkeys,29500000.0,168840000.0,Other,0,NBCUniversal,R,129.0,12.297305,Fall,Dec,8.0
Babe,30000000.0,254134910.0,Fantasy,1,NBCUniversal,G,89.0,14.404764,Summer,Jul,6.8
Dead Man Walking,11000000.0,39363635.0,Drama,0,Other,R,122.0,6.891317,Fall,Dec,7.5
Mortal Kombat,18000000.0,122195920.0,Action,1,WarnerMedia,PG-13,101.0,10.870138,Summer,Aug,5.8
To Die For,20000000.0,21284514.0,Fantasy,0,Sony Pictures,R,106.0,10.448481,Spring,May,6.8
How To Make An American Quilt,10000000.0,23574130.0,Drama,0,NBCUniversal,PG-13,116.0,4.485958,Fall,Oct,6.3
Se7en,33000000.0,327311859.0,Crime,0,Other,R,127.0,18.45743,Summer,Sep,8.6
Pocahontas,55000000.0,346079773.0,Adventure,1,Walt Disney Studios,G,81.0,13.280069,Spring,Jun,6.7
The Usual Suspects,6000000.0,23341568.0,Drama,0,Other,R,106.0,16.302466,Summer,Jul,8.5
Mighty Aphrodite,15000000.0,6700000.0,Comedy,0,Other,R,95.0,15.899134,Summer,Sep,7.0
Friday,3500000.0,28215918.0,Comedy,1,WarnerMedia,R,91.0,14.56965,Spring,Apr,7.3
From Dusk Till Dawn,19000000.0,25836616.0,Horror,1,Other,R,108.0,15.339153,Winter,Jan,7.2
Fair Game,50000000.0,11534477.0,Action,0,WarnerMedia,R,91.0,5.912223,Fall,Nov,4.3
Big Bully,15000000.0,2042530.0,Comedy,0,Other,PG,90.0,2.936443,Winter,Jan,4.7
Screamers,20000000.0,5781885.0,Horror,1,Other,R,108.0,12.758848,Summer,Sep,6.4
Things to Do in Denver When You're Dead,8000000.0,529766.0,Drama,0,ViacomCBS,R,116.0,4.486179,Fall,Dec,6.8
White Squall,38000000.0,10300000.0,Action,0,Other,PG-13,129.0,9.568604,Winter,Feb,6.6
Nick of Time,8169363.0,8175346.0,Crime,0,ViacomCBS,R,90.0,6.848591,Fall,Nov,6.3
Mary Reilly,47000000.0,12379402.0,Drama,0,Other,R,104.0,12.866139,Winter,Feb,5.8
Vampire in Brooklyn,14000000.0,19800000.0,Comedy,0,Other,R,100.0,9.071127,Fall,Oct,4.6
Broken Arrow,50000000.0,150270147.0,Action,0,Walt Disney Studios,R,108.0,14.957626,Winter,Feb,6.1
Bottle Rocket,7000000.0,560069.0,Comedy,0,Sony Pictures,R,91.0,6.904831,Winter,Feb,7.0
Happy Gilmore,12000000.0,41205099.0,Comedy,0,NBCUniversal,PG-13,92.0,9.592265,Winter,Feb,7.0
The Bridges of Madison County,24000000.0,182016617.0,Drama,0,WarnerMedia,PG-13,135.0,5.951077,Spring,May,7.6
Taxi Driver,1300000.0,28262574.0,Crime,0,Sony Pictures,R,114.0,14.092713,Winter,Feb,8.2
Rumble in the Bronx,7500000.0,32392047.0,Crime,0,Other,R,91.0,12.314278,Winter,Jan,6.8
Steal Big Steal Little,25000000.0,6278139.0,Comedy,0,Other,PG-13,113.0,1.522412,Summer,Sep,4.8
Boomerang,40000000.0,70100000.0,Comedy,0,ViacomCBS,R,117.0,6.506983,Spring,Jun,5.6
Flirting with Disaster,7000000.0,14702438.0,Comedy,0,ViacomCBS,R,92.0,5.579088,Winter,Mar,6.7
Jade,50000000.0,9851610.0,Action,0,ViacomCBS,R,95.0,11.418917,Fall,Oct,5.3
The Birdcage,31000000.0,185260553.0,Comedy,0,Other,R,117.0,6.49968,Winter,Mar,7.1
Bad Boys,19000000.0,141407024.0,Action,1,Other,R,118.0,9.262184,Spring,Apr,6.9
An Awfully Big Adventure,4000000.0,851545.0,Romance,0,Other,R,113.0,0.922958,Summer,Jul,6.0
Apollo 13,52000000.0,355237933.0,Drama,0,NBCUniversal,PG,140.0,18.761467,Spring,Jun,7.6
Rob Roy,28000000.0,31596911.0,Adventure,0,Other,R,139.0,10.193549,Spring,Apr,6.9
Batman Forever,100000000.0,336529144.0,Action,1,WarnerMedia,PG-13,121.0,13.321354,Spring,Jun,5.4
Blue in the Face,2000000.0,1275000.0,Comedy,1,ViacomCBS,R,83.0,11.528147,Summer,Sep,6.7
Canadian Bacon,11000000.0,178104.0,Action,0,Other,PG,91.0,5.391556,Spring,Jun,6.0
Casper,50000000.0,287928194.0,Fantasy,1,NBCUniversal,PG,100.0,12.812539,Spring,May,6.1
Clockers,25000000.0,13071518.0,Other,0,NBCUniversal,R,128.0,4.558992,Summer,Sep,6.9
Congo,50000000.0,152022101.0,Action,0,ViacomCBS,PG-13,109.0,7.260574,Spring,Jun,5.3
Crimson Tide,53000000.0,157387195.0,Action,0,Other,R,116.0,8.657365,Spring,May,7.3
Desperado,7000000.0,25405445.0,Thriller,1,Sony Pictures,R,104.0,6.950458,Summer,Aug,7.2
Devil in a Blue Dress,27000000.0,16140822.0,Drama,0,Sony Pictures,R,102.0,4.646132,Summer,Sep,6.7
Die Hard: With a Vengeance,90000000.0,366101666.0,Action,1,Other,R,128.0,15.138855,Spring,May,7.6
First Knight,55000000.0,127600435.0,Action,0,Sony Pictures,PG-13,134.0,15.178338,Summer,Jul,6.0
Hackers,20000000.0,7563728.0,Action,1,Other,PG-13,107.0,14.810519,Summer,Sep,6.3
Johnny Mnemonic,25000000.0,19075720.0,Adventure,0,Sony Pictures,R,97.0,11.715868,Spring,May,5.7
Judge Dredd,90000000.0,113493481.0,Other,0,Other,R,96.0,8.184815,Spring,Jun,5.6
Kids,1500000.0,7412216.0,Drama,0,Other,PG,91.0,4.877872,Summer,Jul,7.1
Living in Oblivion,500000.0,1148752.0,Drama,0,Other,R,89.0,10.058329,Winter,Jan,7.5
Mallrats,6000000.0,2122561.0,Romance,1,Other,R,94.0,8.25547,Fall,Oct,7.1
Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,Action,1,Walt Disney Studios,PG,92.0,7.024227,Spring,Jun,5.3
Mute Witness,2.0,1.0,Thriller,0,Other,R,95.0,2.466066,Summer,Sep,6.7
The Net,22000000.0,110627965.0,Crime,1,Sony Pictures,PG-13,114.0,13.304342,Summer,Jul,6.0
Party Girl,150000.0,472370.0,Comedy,0,Other,R,94.0,1.165039,Spring,Jun,6.6
The Prophecy,8.0,16.0,Fantasy,1,Other,R,98.0,10.187623,Summer,Sep,6.5
The Scarlet Letter,50000000.0,10382407.0,Drama,0,Other,R,135.0,6.752119,Fall,Oct,5.4
Showgirls,45000000.0,20350754.0,Drama,1,Other,G,128.0,17.502375,Summer,Sep,4.9
Smoke,7000000.0,8349430.0,Comedy,1,ViacomCBS,R,112.0,5.552946,Spring,Jun,7.4
Species,35000000.0,113374103.0,Other,1,Other,R,108.0,13.492845,Summer,Jul,5.8
Strange Days,42000000.0,7959291.0,Crime,0,Other,R,145.0,11.223055,Fall,Oct,7.2
The Tie That Binds,14000000.0,5780000.0,Thriller,0,Other,R,99.0,1.820419,Summer,Sep,5.0
Under Siege 2: Dark Territory,60000000.0,104324083.0,Action,1,WarnerMedia,R,100.0,7.490247,Summer,Jul,5.5
A Walk in the Clouds,20000000.0,50012507.0,Drama,0,Walt Disney Studios,PG-13,103.0,9.715639,Summer,Aug,6.7
Waterworld,175000000.0,264218220.0,Adventure,0,NBCUniversal,PG-13,135.0,16.885184,Summer,Jul,6.3
Burnt by the Sun,2800000.0,2616503.0,Drama,1,Other,R,135.0,2.486073,Spring,May,7.9
Before Sunrise,2500000.0,5535405.0,Drama,1,WarnerMedia,R,105.0,11.304979,Winter,Jan,8.1
Billy Madison,10000000.0,26488734.0,Comedy,0,NBCUniversal,PG-13,89.0,6.638116,Winter,Feb,6.4
Boys on the Side,21000000.0,23450000.0,Comedy,0,Other,R,115.0,3.030309,Winter,Feb,6.5
Clerks,27000.0,3151130.0,Comedy,1,Other,R,92.0,10.513367,Summer,Sep,7.7
Don Juan DeMarco,25000000.0,22200000.0,Romance,0,WarnerMedia,PG-13,97.0,7.438934,Fall,Oct,6.7
Disclosure,55000000.0,214015089.0,Drama,0,WarnerMedia,R,123.0,11.812244,Fall,Dec,6.1
Dumb and Dumber,16000000.0,247275374.0,Comedy,1,WarnerMedia,PG-13,107.0,9.844558,Fall,Dec,7.3
Ed Wood,18000000.0,5887457.0,Comedy,0,Walt Disney Studios,R,127.0,11.720358,Summer,Sep,7.8
