,release_date
0,12
1,12
2,2
3,12
4,12
5,12
6,11
7,11
8,12
9,12
10,12
11,12
12,11
13,11
14,10
15,10
16,10
17,10
18,10
19,12
20,10
21,5
22,4
23,8
24,9
25,7
26,12
27,10
28,11
29,7
30,12
31,12
32,10
33,12
34,8
35,5
36,10
37,6
38,5
39,1
40,9
41,5
42,7
43,11
44,9
45,9
46,7
47,1
48,1
49,1
50,1
51,10
52,2
53,4
54,11
55,10
56,1
57,1
58,9
59,2
60,11
61,2
62,12
63,9
64,1
65,11
66,9
67,2
68,1
69,2
70,11
71,9
72,2
73,10
74,2
75,2
76,12
77,5
78,12
79,2
80,2
81,2
82,2
83,5
84,11
85,2
86,12
87,5
88,2
89,1
90,2
91,9
92,1
93,6
94,1
95,3
96,9
97,3
98,6
99,7
100,9
101,3
102,9
103,2
104,1
105,11
106,10
107,8
108,3
109,9
110,9
111,8
112,8
113,3
114,3
115,10
116,8
117,4
118,8
119,4
120,7
121,8
122,4
123,1
124,6
125,5
126,5
127,9
128,6
129,5
130,6
131,5
132,9
133,8
134,9
135,10
136,10
137,7
138,9
139,8
140,5
141,4
142,7
143,1
144,5
145,5
146,10
147,6
148,9
149,9
150,9
151,7
152,7
153,6
154,9
155,11
156,6
157,10
158,6
159,8
160,9
161,10
162,2
163,9
164,10
165,11
166,9
167,7
168,9
169,8
170,8
171,12
172,12
173,10
174,8
175,5
176,6
177,1
178,2
179,10
180,2
181,4
182,3
183,9
184,10
185,12
186,12
187,5
188,3
189,12
190,8
191,9
192,10
193,9
194,5
195,1
196,4
197,3
198,6
199,12
200,9
201,9
202,1
203,12
204,2
205,2
206,12
207,11
208,3
209,2
210,11
211,2
212,8
213,4
214,12
215,5
216,2
217,2
218,4
219,12
220,3
221,10
222,6
223,10
224,3
225,12
226,11
227,3
228,12
229,8
230,11
231,1
232,5
233,1
234,12
235,12
236,4
237,8
238,3
239,8
240,9
241,9
242,1
243,3
244,5
245,4
246,11
247,2
248,1
249,5
250,2
251,3
252,12
253,5
254,1
255,1
256,10
257,10
258,4
259,1
260,10
261,10
262,11
263,12
264,9
265,1
266,9
267,7
268,9
269,6
270,3
271,1
272,5
273,4
274,4
275,3
276,9
277,4
278,2
279,12
280,8
281,11
282,9
283,9
284,8
285,2
286,5
287,4
288,9
289,10
290,8
291,8
292,5
293,12
294,3
295,1
296,10
297,6
298,7
299,12
300,12
301,10
302,7
303,9
304,3
305,3
306,2
307,7
308,12
309,12
310,9
311,6
312,12
313,9
314,7
315,4
316,6
317,1
318,12
319,9
320,11
321,9
322,1
323,8
324,9
325,12
326,9
327,12
328,5
329,10
330,10
331,5
332,11
333,5
334,3
335,11
336,2
337,12
338,2
339,3
340,4
341,9
342,8
343,1
344,7
345,4
346,7
347,5
348,10
349,5
350,7
351,7
352,2
353,9
354,6
355,6
356,9
357,1
358,9
359,11
360,6
361,5
362,5
363,7
364,8
365,4
366,11
367,5
368,9
369,10
370,6
371,10
372,4
373,10
374,10
375,4
376,11
377,5
378,10
379,8
380,8
381,2
382,6
383,7
384,6
385,8
386,5
387,12
388,5
389,10
390,1
391,3
392,2
393,8
394,7
395,12
396,4
397,6
398,3
399,10
400,6
401,9
402,10
403,8
404,7
405,6
406,6
407,3
408,9
409,5
410,9
411,8
412,8
413,5
414,3
415,5
416,9
417,5
418,10
419,10
420,11
421,9
422,7
423,9
424,4
425,9
426,11
427,12
428,5
429,7
430,9
431,10
432,10
433,3
434,11
435,6
436,7
437,10
438,4
439,9
440,3
441,10
442,9
443,11
444,8
445,9
446,8
447,9
448,8
449,4
450,7
451,12
452,9
453,10
454,6
455,5
456,7
457,7
458,9
459,5
460,4
461,9
462,11
463,4
464,11
465,12
466,9
467,12
468,11
469,2
470,9
471,5
472,4
473,9
474,11
475,10
476,1
477,6
478,9
479,7
480,10
481,1
482,8
483,9
484,8
485,1
486,9
487,1
488,10
489,5
490,2
491,11
492,7
493,2
494,3
495,12
496,6
497,11
498,2
499,9
500,3
501,12
502,3
503,12
504,4
505,3
506,3
507,5
508,2
509,4
510,5
511,9
512,2
513,1
514,5
515,9
516,12
517,1
518,4
519,9
520,4
521,9
522,1
523,3
524,1
525,5
526,3
527,3
528,3
529,6
530,3
531,3
532,12
533,9
534,4
535,7
536,2
537,6
538,3
539,4
540,9
541,5
542,12
543,3
544,8
545,4
546,4
547,4
548,4
549,3
550,8
551,5
552,4
553,3
554,1
555,5
556,11
557,1
558,5
559,1
560,3
561,10
562,7
563,2
564,4
565,10
566,4
567,9
568,6
569,9
570,9
571,11
572,5
573,4
574,3
575,4
576,4
577,4
578,4
579,5
580,5
581,5
582,12
583,1
584,11
585,1
586,7
587,5
588,3
589,5
590,5
591,5
592,5
593,5
594,6
595,4
596,3
597,5
598,10
599,4
600,11
601,10
602,5
603,8
604,12
605,8
606,5
607,8
608,1
609,9
610,9
611,11
612,4
613,9
614,4
615,11
616,1
617,6
618,6
619,12
620,1
621,8
622,5
623,9
624,9
625,5
626,7
627,1
628,5
629,5
630,5
631,3
632,8
633,6
634,6
635,7
636,6
637,6
638,8
639,5
640,1
641,9
642,9
643,12
644,7
645,6
646,7
647,7
648,7
649,8
650,7
651,9
652,3
653,8
654,7
655,10
656,5
657,8
658,5
659,9
660,3
661,9
662,5
663,9
664,7
665,9
666,10
667,11
668,10
669,8
670,8
671,8
672,8
673,8
674,8
675,1
676,8
677,6
678,3
679,1
680,9
681,9
682,8
683,8
684,1
685,8
686,8
687,6
688,6
689,8
690,1
691,10
692,7
693,1
694,4
695,4
696,9
697,8
698,11
699,8
700,5
701,7
702,9
703,1
704,9
705,10
706,8
707,8
708,1
709,8
710,8
711,8
712,6
713,9
714,9
715,10
716,9
717,10
718,11
719,3
720,5
721,5
722,12
723,4
724,8
725,10
726,2
727,5
728,10
729,6
730,3
731,12
732,11
733,9
734,9
735,3
736,11
737,10
738,8
739,8
740,11
741,1
742,4
743,8
744,12
745,7
746,8
747,6
748,8
749,10
750,6
751,4
752,1
753,5
754,11
755,10
756,6
757,9
758,9
759,3
760,9
761,3
762,5
763,1
764,10
765,2
766,4
767,6
768,7
769,9
770,3
771,1
772,12
773,2
774,6
775,2
776,10
777,12
778,11
779,2
780,1
781,3
782,6
783,9
784,12
785,10
786,1
787,2
788,11
789,1
790,7
791,1
792,9
793,4
794,9
795,9
796,9
797,10
798,9
799,10
800,9
801,9
802,1
803,11
804,9
805,9
806,8
807,10
808,9
809,10
810,10
811,10
812,7
813,5
814,3
815,12
816,2
817,12
818,6
819,5
820,2
821,3
822,12
823,12
824,12
825,9
826,7
827,6
828,11
829,10
830,7
831,8
832,3
833,9
834,9
835,11
836,5
837,10
838,10
839,9
840,5
841,6
842,10
843,10
844,10
845,10
846,1
847,10
848,1
849,2
850,2
851,10
852,10
853,10
854,12
855,5
856,11
857,7
858,12
859,4
860,1
861,12
862,12
863,4
864,7
865,8
866,4
867,8
868,7
869,10
870,5
871,11
872,8
873,9
874,7
875,3
876,9
877,9
878,11
879,12
880,6
881,9
882,10
883,9
884,9
885,10
886,9
887,5
888,9
889,10
890,1
891,5
892,1
893,1
894,3
895,10
896,10
897,6
898,12
899,4
900,8
901,2
902,4
903,8
904,11
905,1
906,10
907,3
908,7
909,9
910,9
911,9
912,5
913,9
914,10
915,9
916,10
917,3
918,11
919,5
920,12
921,10
922,9
923,9
924,4
925,2
926,5
927,3
928,10
929,11
930,11
931,9
932,5
933,9
934,11
935,9
936,4
937,5
938,11
939,9
940,9
941,12
942,1
943,7
944,8
945,12
946,8
947,12
948,5
949,3
950,1
951,2
952,1
953,12
954,5
955,1
956,8
957,10
958,7
959,6
960,7
961,11
962,9
963,12
964,12
965,9
966,2
967,2
968,8
969,2
970,4
971,9
972,12
973,4
974,2
975,2
976,6
977,9
978,1
979,12
980,11
981,10
982,5
983,3
984,3
985,2
986,9
