,release_date
0,Fall
1,Fall
2,Winter
3,Fall
4,Fall
5,Fall
6,Fall
7,Fall
8,Fall
9,Fall
10,Fall
11,Fall
12,Fall
13,Fall
14,Fall
15,Fall
16,Fall
17,Fall
18,Fall
19,Fall
20,Fall
21,Spring
22,Spring
23,Summer
24,Summer
25,Summer
26,Fall
27,Fall
28,Fall
29,Summer
30,Fall
31,Fall
32,Fall
33,Fall
34,Summer
35,Spring
36,Fall
37,Spring
38,Spring
39,Winter
40,Summer
41,Spring
42,Summer
43,Fall
44,Summer
45,Summer
46,Summer
47,Winter
48,Winter
49,Winter
50,Winter
51,Fall
52,Winter
53,Spring
54,Fall
55,Fall
56,Winter
57,Winter
58,Summer
59,Winter
60,Fall
61,Winter
62,Fall
63,Summer
64,Winter
65,Fall
66,Summer
67,Winter
68,Winter
69,Winter
70,Fall
71,Summer
72,Winter
73,Fall
74,Winter
75,Winter
76,Fall
77,Spring
78,Fall
79,Winter
80,Winter
81,Winter
82,Winter
83,Spring
84,Fall
85,Winter
86,Fall
87,Spring
88,Winter
89,Winter
90,Winter
91,Summer
92,Winter
93,Spring
94,Winter
95,Winter
96,Summer
97,Winter
98,Spring
99,Summer
100,Summer
101,Winter
102,Summer
103,Winter
104,Winter
105,Fall
106,Fall
107,Summer
108,Winter
109,Summer
110,Summer
111,Summer
112,Summer
113,Winter
114,Winter
115,Fall
116,Summer
117,Spring
118,Summer
119,Spring
120,Summer
121,Summer
122,Spring
123,Winter
124,Spring
125,Spring
126,Spring
127,Summer
128,Spring
129,Spring
130,Spring
131,Spring
132,Summer
133,Summer
134,Summer
135,Fall
136,Fall
137,Summer
138,Summer
139,Summer
140,Spring
141,Spring
142,Summer
143,Winter
144,Spring
145,Spring
146,Fall
147,Spring
148,Summer
149,Summer
150,Summer
151,Summer
152,Summer
153,Spring
154,Summer
155,Fall
156,Spring
157,Fall
158,Spring
159,Summer
160,Summer
161,Fall
162,Winter
163,Summer
164,Fall
165,Fall
166,Summer
167,Summer
168,Summer
169,Summer
170,Summer
171,Fall
172,Fall
173,Fall
174,Summer
175,Spring
176,Spring
177,Winter
178,Winter
179,Fall
180,Winter
181,Spring
182,Winter
183,Summer
184,Fall
185,Fall
186,Fall
187,Spring
188,Winter
189,Fall
190,Summer
191,Summer
192,Fall
193,Summer
194,Spring
195,Winter
196,Spring
197,Winter
198,Spring
199,Fall
200,Summer
201,Summer
202,Winter
203,Fall
204,Winter
205,Winter
206,Fall
207,Fall
208,Winter
209,Winter
210,Fall
211,Winter
212,Summer
213,Spring
214,Fall
215,Spring
216,Winter
217,Winter
218,Spring
219,Fall
220,Winter
221,Fall
222,Spring
223,Fall
224,Winter
225,Fall
226,Fall
227,Winter
228,Fall
