imdb_id,production_company
tt0114709,Walt Disney Pictures
tt0113497,TriStar Pictures
tt0113228,Lancaster Gate
tt0114885,Twentieth Century Fox
tt0113041,Sandollar Productions
tt0114319,Constellation Entertainment
tt0112302,Walt Disney Pictures
tt0114576,Universal Pictures
tt0113189,Eon Productions
tt0112346,Universal Pictures
tt0112896,Gaumont
tt0112453,Amblimation
tt0112760,Beckner/Gorman Productions
tt0114388,Columbia Pictures
tt0113101,Miramax
tt0112281,Morgan Creek Entertainment
tt0113845,Columbia Pictures
tt0113161,Metro-Goldwyn-Mayer (MGM)
tt0112722,New Regency Productions
tt0112401,Warner Bros.
tt0114168,Caravan Pictures
tt0113627,Lumiere Pictures
tt0114057,Castle Rock Entertainment
tt0114011,New Line Cinema
tt0112682,Constellation
tt0115012,Alpha Films
tt0112792,Hollywood Pictures
tt0114746,Universal Pictures
tt0114952,Iwerks Entertainment
tt0112431,Universal Pictures
tt0112637,PolyGram Filmed Entertainment
tt0112818,Havoc
tt0112286,Sony New Technologies
tt0113442,Dualstar Productions
tt0112697,Paramount Pictures
tt0112749,Alpine Pty Limited
tt0114279,Mayfair Entertainment International
tt0112819,Caravan Pictures
tt0114272,Avenue Pictures
tt0113855,New Line Cinema
tt0114681,Columbia Pictures
tt0113347,Universal Pictures
tt0114369,Cecchi Gori Pictures
tt0114148,Walt Disney Pictures
tt0114916,Alliance Communications Corporation
tt0114814,PolyGram Filmed Entertainment
tt0113819,Sweetland Films
tt0110299,Alia Film
tt0112499,Caravan Pictures
tt0113158,CiBy 2000
tt0113541,Malofilm Communications Inc.
tt0113321,Paramount Pictures
tt0110877,Cecchi Gori Group Tiger Cinematografica
tt0112714,Canal+ Productions
tt0113419,Columbia Pictures
tt0116260,Paramount Pictures
tt0113862,Hollywood Pictures
tt0116126,Island Pictures
tt0118002,Morgan Creek Entertainment
tt0115683,Metro-Goldwyn-Mayer (MGM)
tt0116839,New Line Cinema
tt0114753,Miramax
tt0113149,Canal+
tt0113118,New Line Cinema
tt0116367,Dimension Films
tt0113010,Warner Bros.
tt0113537,Trimark Pictures
tt0115644,Juno Pix
tt0115676,Morgan Creek Entertainment
tt0114367,Triumph Films
tt0113973,Bluehorse Films
tt0112744,Miramax
tt0116731,Columbia Pictures
tt0112445,Farabi Cinema Foundation
tt0114660,Miramax
tt0112379,Bergen
tt0114039,BET Pictures
tt0113612,Jagtoria Films
tt0112365,Playhouse International Pictures
tt0118158,Hollywood Pictures
tt0116151,Joe Wizan/Todd Black
tt0115697,Broadway Pictures
tt0113972,Paramount Pictures
tt0113490,Addis Wechsler Pictures
tt0117002,NFH Productions
tt0114825,Eddie Murphy Productions
tt0115639,Miramax
tt0115759,Twentieth Century Fox
tt0113403,Castle Rock Entertainment
tt0113247,Canal+
tt0111173,Channel Four Films
tt0115907,Castle Rock Entertainment
tt0115734,Columbia Pictures
tt0117102,Mandeville Films
tt0118040,Dino De Laurentiis Company
tt0116483,Universal Pictures
tt0112579,Warner Bros.
tt0110251,Cobra Film GmbH
tt0117110,Walt Disney Pictures
tt0112646,
tt0113276,Green Tea Pictures
tt0075314,Columbia Pictures
tt0113326,Golden Harvest Company
tt0115645,Caravan Pictures
tt0113774,British Screen Productions
tt0112556,Canal+
tt0112373,Anne Frank House
tt0115033,Bavaria Film and Television Fund
tt0116606,Motion Picture Corporation of America (MPCA)
tt0114536,Chicago Pacific Entertainment
tt0117427,TriStar Pictures
tt0103859,Paramount Pictures
tt0109424,Jet Tone Production
tt0114808,Cecchi Gori Group Tiger Cinematografica
tt0116324,Miramax
tt0110647,Cinevox Filmproduktion GmbH
tt0111055,Canal Horizons
tt0110217,Blackbridge Productions
tt0114131,Fine Line Features
tt0112364,Tree Farm Productions
tt0113107,Bórd Scannán na hÉireann
tt0113451,Paramount Pictures
tt0114015,Cigua Films
tt0114500,
tt0116130,Twentieth Century Fox
tt0113125,Couch Potatoe Productions
tt0113756,The Documentary Foundation
tt0113952,Channel Four Films
tt0114618,Creative Entertainment Group
tt0118055,Touchstone Pictures
tt0115685,United Artists
tt0113200,IPI International
tt0112585,Brothers McMullen Productions
tt0112442,Don Simpson/Jerry Bruckheimer Films
tt0112342,Lee Rich Productions
tt0112461,New Line Cinema
tt0112427,British Broadcasting Corporation (BBC)
